day,btc_close_eur,daily_volatility_pct,is_surge_signal
1,58714.68,3.04,False
2,59484.14,3.65,False
3,59829.85,0.61,False
4,60228.8,1.86,False
5,60852.14,4.17,False
6,61051.1,3.22,False
7,61294.18,1.74,False
8,61657.58,2.17,False
9,61548.66,2.91,False
10,61312.56,2.92,False
11,61393.86,0.96,False
12,61053.55,1.78,False
13,61058.59,3.36,False
14,60754.04,8.31,True
15,60153.64,3.47,False
16,59646.72,4.08,False
17,58874.12,1.11,False
18,58601.03,1.87,False
19,57758.56,3.56,False
20,57668.79,4.42,False
21,56653.7,2.2,False
22,55851.33,1.77,False
23,55986.12,3.16,False
24,55394.57,0.35,False
25,55070.84,3.06,False
26,54682.2,1.87,False
27,54888.58,1.24,False
28,54501.81,3.63,False
29,54475.77,1.83,False
30,54636.61,1.23,False
31,55033.69,1.26,False
32,55455.68,1.37,False
33,55372.86,2.69,False
34,56180.41,3.8,False
35,56399.62,9.1,True
36,57164.8,3.14,False
37,57207.4,1.92,False
38,58473.15,2.12,False
39,58659.63,1.77,False
40,59176.13,2.68,False
41,59885.42,2.69,False
42,60101.65,3.68,False
43,60749.17,2.97,False
44,60856.53,3.72,False
45,60925.43,1.72,False
46,61548.1,0.54,False
47,61140.79,3.19,False
48,61402.82,3.02,False
49,60951.36,3.23,False
50,61290.25,3.04,False
51,61114.69,1.5,False
52,60385.97,1.95,False
53,59804.14,2.48,False
54,59062.92,4.05,False
55,58950.43,2.74,False
56,58713.8,3.94,False
57,57502.64,0.73,False
58,57338.94,9.29,True
59,56874.03,3.61,False
60,55847.84,3.09,False
61,55715.35,2.66,False
62,55356.33,4.08,False
63,54551.66,3.35,False
64,54291.21,2.95,False
65,54479.47,2.81,False
66,54171.86,3.41,False
67,54813.51,1.07,False
68,55042.19,3.54,False
69,55202.76,1.77,False
70,55609.14,2.85,False
71,56034.23,0.18,False
72,55810.62,3.94,False
73,56673.76,1.83,False
74,57078.42,3.8,False
75,58127.68,3.14,False
76,58692.72,2.33,False
77,58617.45,3.74,False
78,59720.88,2.81,False
79,60296.78,1.95,False
80,60743.83,1.83,False
81,61206.15,0.96,False
82,60899.82,8.33,True
83,61542.41,3.24,False
84,61667.29,2.78,False
85,61742.95,1.21,False
86,61381.3,3.13,False
87,61443.93,2.93,False
88,60930.08,1.05,False
89,60515.91,1.16,False
90,60326.24,4.69,False
